"frequency";"r C33";"i C33"
1e+08;4.90182e-13;0
1.5e+08;4.89211e-13;0
2e+08;4.88545e-13;0
2.5e+08;4.87971e-13;0
3e+08;4.87418e-13;0
3.5e+08;4.86855e-13;0
4e+08;4.86267e-13;0
4.5e+08;4.85646e-13;0
5e+08;4.8499e-13;0
5.5e+08;4.84291e-13;0
6e+08;4.83553e-13;0
6.5e+08;4.82772e-13;0
7e+08;4.8195e-13;0
7.5e+08;4.81086e-13;0
8e+08;4.80179e-13;0
8.5e+08;4.79231e-13;0
9e+08;4.78242e-13;0
9.5e+08;4.77214e-13;0
1e+09;4.76145e-13;0
1.05e+09;4.75038e-13;0
1.1e+09;4.73895e-13;0
1.15e+09;4.72713e-13;0
1.2e+09;4.71497e-13;0
1.25e+09;4.70246e-13;0
1.3e+09;4.68962e-13;0
1.35e+09;4.67645e-13;0
1.4e+09;4.66297e-13;0
1.45e+09;4.6492e-13;0
1.5e+09;4.63514e-13;0
1.55e+09;4.62079e-13;0
1.6e+09;4.60619e-13;0
1.65e+09;4.59133e-13;0
1.7e+09;4.57624e-13;0
1.75e+09;4.56091e-13;0
1.8e+09;4.54537e-13;0
1.85e+09;4.52962e-13;0
1.9e+09;4.51368e-13;0
1.95e+09;4.49756e-13;0
2e+09;4.48127e-13;0
2.05e+09;4.46482e-13;0
2.1e+09;4.44822e-13;0
2.15e+09;4.43149e-13;0
2.2e+09;4.41462e-13;0
2.25e+09;4.39765e-13;0
2.3e+09;4.38057e-13;0
2.35e+09;4.3634e-13;0
2.4e+09;4.34614e-13;0
2.45e+09;4.32881e-13;0
2.5e+09;4.31142e-13;0
2.55e+09;4.29398e-13;0
2.6e+09;4.27648e-13;0
2.65e+09;4.25896e-13;0
2.7e+09;4.2414e-13;0
2.75e+09;4.22382e-13;0
2.8e+09;4.20624e-13;0
2.85e+09;4.18864e-13;0
2.9e+09;4.17106e-13;0
2.95e+09;4.15349e-13;0
3e+09;4.13593e-13;0
3.05e+09;4.11841e-13;0
3.1e+09;4.10092e-13;0
3.15e+09;4.08346e-13;0
3.2e+09;4.06605e-13;0
3.25e+09;4.04869e-13;0
3.3e+09;4.03139e-13;0
3.35e+09;4.01414e-13;0
3.4e+09;3.99697e-13;0
3.45e+09;3.97987e-13;0
3.5e+09;3.96285e-13;0
3.55e+09;3.9459e-13;0
3.6e+09;3.92904e-13;0
3.65e+09;3.91228e-13;0
3.7e+09;3.8956e-13;0
3.75e+09;3.87902e-13;0
